Number, Authors,Year,Journal/Conference,Title,Cognitive,Perceptual,Involves Priming,Suggested Keywords,Detailed Comments,Agent/Avatar,Body Ownership,User Response,Participant Group,Relevance,Quality,Contributor (Your Name),Date Entered,
1,"Armel, K. Carrie
Ramachandran, V.S.",2003,Proceedings of the Royal Society / Biological Sciences,Projecting Sensations to External Objects: Evidence from Skin Conductance Response, N/A,Yes, N/A,Synchronization of Stimuli (a),"SCR to actions taken against objects
", N/A,Yes (in the sense that users experienced sensations when their virtual hand was stroked/injured),"SCR, subjective, subjective response on an objective scale",40 UCSD Psych undergrads (18-23 old), Low,High,Ryan / Remo,2013-01-30,
2,"Krauss, Robert M.
Morrel-Samuels, Palmer
Colasante, Christina",1991,Journal of Personality and Social Psychology,Do Conversational Hand Gestures Communicate?,Yes,Yes,Yes,"Anthropomorphic Face and Facial Expressions (a)
Body Pose and Gestures (s, i)",Estimation of message from gestures, N/A,No,Conveying of information through gestures and/or speech,24 + 36 College Undergrads, Medium,High,Ryan / Remo,2013-01-30,
3,"Duffy, Brian R.",2003,Robotics and Autonomous Systems,Anthropomorphism and the Social Robot,Yes, N/A, N/A,"Anthropomorphic Face and Facial Expressions (a)
Physical Shape (s)
Emotiveness (i) 
Agency (i)","Survey of which anthropomorphic attributes of a robot are important for human / social acceptance
",Agent,No,,,High, Medium,Ryan / Remo,2013-01-30,
4,"Nowak, Kristine",2001,International Workshop on Presence (PRESENCE),"Defining and Differentiating Copresence, Social Presence and Presence as Transportation",Yes, N/A, N/A,,"Told they were interacting with human or agent, degrees of visual feedback", Mixed,No,,134 Telecommunications undergrads in the Midwest (19 - 33 old), Medium, N/A,Ryan / Remo,2013-01-30,
5,"DeVault, David
Sagae, Kenji
Traum, David",2009,Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL),Can I Finish?: Learning When to Respond to Incremental Interpretation Results in Interactive Dialogue,Yes,Yes, N/A,"Responsiveness / Latency (o)
Incremental Interpretation / Early Feedback (p)",,Agent,No,Beliefs/Illusions,, Medium, Low,Ryan / Remo,2013-01-30,
6,"Holcomb, John B
et al.",2002,The Journal of Trauma,Evaluation of Trauma Team Performance using an Advanced Human Patient Simulator for Resuscitation Training,Yes,Yes, N/A,Situational Plausibility (a),"Producing ""expert"" behavior medical teams",Agent,No, Behavior,Military medic teams, Low, Medium,Ryan / Remo,2013-01-30,
7,"Good, M L",2003,Medical Education,Patient Simulation for Training Basic and Advanced Clinical Skills,Yes, N/A, N/A,Situational Plausibility (a),, N/A,No,,, Low, Medium,Ryan / Remo,2013-01-30,
8,"Rickel, J
Johnson, WL",1999,International Conference on Artificial Intelligence in Education,Virtual Humans for Team Training in Virtual Reality,Yes, No, N/A,"Situational Plausibility (a)
Responsiveness / Latency (o)",Producing realistic human/agent teams to complete procedural tasks, Mixed,No,,, Medium, Low,Ryan / Remo,2013-01-30,
9,"Pelechano, Nuria
Allbeck, Jan M.
Badler, Norman I.",2007,ACM SIGGRAPH/Eurographics Symposium on Computer Animation,Controlling Individual Agents in High-Density Crowd Simulation,Yes, N/A, N/A,"Situational Plausibility (a)
Spontaneous Actions (p)",Simulation of crowd movement models,Agent,No,,, Low, Medium,Ryan / Remo,2013-01-30,
10,"Liu, Ying
Badler, Norman I.",2003,International Conference on Computer Animation and Social Agents (CASA),Real-time Reach Planning for Animated Characters using Hardware Acceleration, No, No, No,,"Efficient, but not necessarily realistic movement of virtual characters. No user tests.",Agent,No,,, Low, Low,Ryan / Remo,2013-01-30,
