Journal,Title,Link,Independent Variables,Dependent Variables,Metrics,Useful Search Terms,Potential Moderator Variables,Keep?,Reason for Keeping/Discarding,
Presence Journal,Acting Rehearsal in Collaborative Multimodal Mixed Reality Environments,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00109#.UzicQZCO0sQ,,,,,,NO,No data/No conditions,
Presence Journal,Adaptive Generation of Emotional Impact Using Enhanced Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00092#.UziaxZCO0sQ,,,,,,NO,Not social,
Cyberpsych and Behavior,Assessment of the Therapeutic Alliance in Face-to-Face or Videoconference Treatment for Posttraumatic Stress Disorder,http://online.liebertpub.com/doi/pdf/10.1089/cyber.2009.0139,,,,,,NO,Nothing was being simulated; it was a videoconference,
Cyberpsych and Behavior,Characteristics of Social Perception Assessed in Schizophrenia Using Virtual Reality,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9966,,,,,,NO,IV: Mental state of participant,
Cyberpsych and Behavior,"Determining Sociability, Social Space, and Social Presence in (A)synchronous Collaborative Groups",http://online.liebertpub.com/doi/pdfplus/10.1089/109493104323024429,,,,,,NO,NO IVs,
Presence Journal,Evaluation of Auditory and Visual Feedback on Task Performance in a Virtual Assembly Environment,http://www.mitpressjournals.org/doi/abs/10.1162/pres.15.6.613#.UzhZiJCO0sQ,,,,,,NO,Not social,
Presence Journal,From Spatial Proximity to Semantic Coherence: A Quantitative Approach to the Study of Group Dynamics in Collaborative Virtual Environments,http://www.mitpressjournals.org/doi/abs/10.1162/1054746053890260#.UzhYaZCO0sQ,,,,,,NO,,
Presence Journal,Improving Spatial Perception in Telepresence and Teleaction Systems by Displaying Distance Information through Visual and Vibrotactile Feedback,http://www.mitpressjournals.org/doi/abs/10.1162/pres_a_00006#.UzhuDpCO0sQ,,,,,,NO,,
Presence Journal,Leaving the World Behind: Supporting Group Collaboration Patterns in a Shared Virtual Environment for Product Design,http://www.mitpressjournals.org/doi/abs/10.1162/105474605775196625#.UzhY05CO0sQ,,,,,,NO,IV not related,
Cyberpsych and Behavior,Pilot Study for Assessing the Behaviors of Patients with Schizophrenia towards a Virtual Avatar,http://online.liebertpub.com/doi/pdf/10.1089/cpb.2006.9.531,,,,,,NO,NO IV,
Presence Journal,Predictors of Smoking Craving During Virtual Reality Exposure,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00125#.UzicRJCO0sQ,,,,,,NO,IV is type of VE,
Presence Journal,Presence Related Formal Aspects of Hedonic Valence in Mood Management: An Investigation of the Impact of Mediated Experiences on Induced Aggressive Mood,http://www.mitpressjournals.org/doi/abs/10.1162/pres.18.3.222#.UzhpAJCO0sQ,,,,,,NO,,
Presence Journal,Social Learning and Adoption of New Behavior in a Virtual Agent Society,http://www.mitpressjournals.org/doi/abs/10.1162/PRES_a_00144#.UzhrUpCO0sQ,,,,,,NO,,
Cyberpsych and Behavior,Social Presence in a Home Tele-Application,http://online.liebertpub.com/doi/pdfplus/10.1089/109493101300117974,,,,,,NO,No avatars,
Presence Journal,Successes and Failures in Co-Present Situations,http://www.mitpressjournals.org/doi/abs/10.1162/105474605774918679#.UzhYupCO0sQ,,,,,,NO,,
